%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      2.54049        8.9001        6.8144       22.2338       230.495       20.2338       20.0038        70077.        7.2997        6.7997       -0.3669       -8.8984        0.5000 
      0.04118        0.8352        0.7171       11.8853       306.695        1.1999        1.1576       114031.        1.5000        1.0000        1.0512       -2.5870        0.5000 
      0.04424        0.8599        0.7381       11.4193       300.754        1.1999        1.1792       114099.        1.5000        1.0000        1.0475       -2.5921        0.5000 
      0.04507        0.8575        0.7362       11.5247       302.845        1.1999        1.1770       114156.        1.5000        1.0000        1.0535       -2.5844        0.5000 
      1.37886        8.2096        5.9923       27.4074       272.366       20.2338       19.9680       122532.        4.3996        3.8996       -0.1036       -5.8884        0.5000 
      1.37190        8.1717        5.9129       28.1122       272.968       20.2338       19.9665       122599.        4.7998        4.2998       -0.1343       -5.9743        0.5000 
      1.39090        8.1729        5.9191       28.1034       273.824       20.2338       19.9679       122657.        4.5000        4.0000       -0.1258       -5.9429        0.5000 
      1.80569        8.4033        6.6636       19.4184       219.301       20.2338       19.3159            0.        3.1959        2.6959        0.4850       -4.6754        0.5000 
      1.84380        8.5453        6.7978       25.0275       223.691       20.2338       19.3181           64.        3.5038        3.0038        0.4690       -4.7418        0.5000 
      1.57805        8.4467        6.6354       32.3917       235.564       20.2338       19.3455          110.        2.1989        1.6989        0.4643       -4.7626        0.5000 
      1.75704        8.4256        6.6707       25.5763       235.740       20.2338       19.3261          166.        3.1985        2.6985        0.4532       -4.8085        0.5000 
      2.46634        8.5590        6.5321       22.2384       233.032       20.2338       19.9549        69765.        9.4982        8.9982        2.9578       -7.2110        0.5000 
      2.46897        8.8747        6.8227       18.7879       231.368       20.2338       19.9618        69937.        6.5012        6.0012        2.9695       -7.1967        0.5000 
      2.53777        8.8664        6.7904       22.2604       230.404       20.2338       19.9594        70077.        7.2997        6.7997        2.9631       -7.2144        0.5000 
      0.05327        0.7908        0.6805       15.0858       310.518        1.0000       -9.0000       114031.        1.5000        1.0000        1.2446       -3.0121        0.5000 
      0.05496        0.8106        0.6972       15.0904       303.572        1.0000       -9.0000       114099.        1.5000        1.0000        1.2432       -3.0119        0.5000 
      0.05687        0.8085        0.6955       15.1340       305.954        1.0000       -9.0000       114156.        1.5000        1.0000        1.2466       -3.0119        0.5000 
